Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core:Source,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Willaimsport, KY by Walter Ward Jr.",476,http://mappalachia.org/pictures/gallery/full_size/map_476.jpg,Walter Ward Jr.,1958,Johnson,"Willaimsport, KY",Berea College Special Collections and Archives,Rights Reserved by: Walter Ward Jr.,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8206502,-82.7290471,10,,
"Braden Flats, TN by Roger Braden",477,http://mappalachia.org/pictures/gallery/full_size/map_477.jpg,Roger Braden,1969,Anderson,"Braden Flats, TN",Berea College Special Collections and Archives,Rights Reserved by: Roger Braden,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.1634609,-84.2298796,10,,
", KY by Shayla Damron",478,http://mappalachia.org/pictures/gallery/full_size/map_478.jpg,Shayla Damron,1969,Pike,", KY",Berea College Special Collections and Archives,Rights Reserved by: Shayla Damron,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.4842087,-82.4752757,10,,
"Jonesville, VA by Wesley Harris",479,http://mappalachia.org/pictures/gallery/full_size/map_479.jpg,Wesley Harris,1958,Lee,"Jonesville, VA",Berea College Special Collections and Archives,Rights Reserved by: Wesley Harris,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.6889777,-83.1110047,10,,
"Lenoir City, TN by Susie Stewart",480,http://mappalachia.org/pictures/gallery/full_size/map_480.jpg,Susie Stewart,1969,Loudon,"Lenoir City, TN",Berea College Special Collections and Archives,Rights Reserved by: Susie Stewart,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.7972998,-84.2560299,10,,
"Happy, KY by Willard Ashworth",481,http://mappalachia.org/pictures/gallery/full_size/map_481.jpg,Willard Ashworth,1958,Perry,"Happy, KY",Berea College Special Collections and Archives,Rights Reserved by: Willard Ashworth,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2039848,-83.0965566,10,,
"Marrion, NC by Bill Waycaster",482,http://mappalachia.org/pictures/gallery/full_size/map_482.jpg,Bill Waycaster,,McDowell,"Marrion, NC",Berea College Special Collections and Archives,Rights Reserved by: Bill Waycaster,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.6840131,-82.0092745,10,,
"Redfox, KY by Vicky Perdue",483,http://mappalachia.org/pictures/gallery/full_size/map_483.jpg,Vicky Perdue,1969,Knott,"Redfox, KY",Berea College Special Collections and Archives,Rights Reserved by: Vicky Perdue,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2148205,-82.9437726,10,,
", WV by Carl Haught",484,http://mappalachia.org/pictures/gallery/full_size/map_484.jpg,Carl Haught,1959,Logan,", WV",Berea College Special Collections and Archives,Rights Reserved by: Carl Haught,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8487147,-81.9934581,10,,
", SC by Duckett",485,http://mappalachia.org/pictures/gallery/full_size/map_485.jpg,Duckett,1969,,", SC",Berea College Special Collections and Archives,Rights Reserved by: Duckett,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,33.836081,-81.1637245,10,,
"Cliff, KY by Ella Moore",486,http://mappalachia.org/pictures/gallery/full_size/map_486.jpg,Ella Moore,1959,Madison,"Cliff, KY",Berea College Special Collections and Archives,Rights Reserved by: Ella Moore,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7143001,-84.3121264,10,,
", VA by Patricia Graham",487,http://mappalachia.org/pictures/gallery/full_size/map_487.jpg,Patricia Graham,,,", VA",Berea College Special Collections and Archives,Rights Reserved by: Patricia Graham,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6813968,-97.2746978,10,,
"Pageton, WV by Harriet Smargian",488,http://mappalachia.org/pictures/gallery/full_size/map_488.jpg,Harriet Smargian,1959,McDowell,"Pageton, WV",Berea College Special Collections and Archives,Rights Reserved by: Harriet Smargian,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3495491,-81.4649148,10,,
"Clifton Forge, VA by Sue Peters",489,http://mappalachia.org/pictures/gallery/full_size/map_489.jpg,Sue Peters,1968,Alleghany,"Clifton Forge, VA",Berea College Special Collections and Archives,Rights Reserved by: Sue Peters,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8132558,-79.8358203,10,,
", NC by Howard Scoggin",490,http://mappalachia.org/pictures/gallery/full_size/map_490.jpg,Howard Scoggin,1959,,", NC",Berea College Special Collections and Archives,Rights Reserved by: Howard Scoggin,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.7595731,-79.0192997,10,,
"Martin, KY by Tommy Stone",491,http://mappalachia.org/pictures/gallery/full_size/map_491.jpg,Tommy Stone,1968,Floyd,"Martin, KY",Berea College Special Collections and Archives,Rights Reserved by: Tommy Stone,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5728764,-82.752659,10,,
", WV by Judith Thompson",492,http://mappalachia.org/pictures/gallery/full_size/map_492.jpg,Judith Thompson,1959,,", WV",Berea College Special Collections and Archives,Rights Reserved by: Judith Thompson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.5976262,-80.4549026,10,,
"Hazard, KY by Phyllis Combs",493,http://mappalachia.org/pictures/gallery/full_size/map_493.jpg,Phyllis Combs,1959,Perry,"Hazard, KY",Berea College Special Collections and Archives,Rights Reserved by: Phyllis Combs,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,
"Bristol, VA by Charlotte Cook",494,http://mappalachia.org/pictures/gallery/full_size/map_494.jpg,Charlotte Cook,,Washington,"Bristol, VA",Berea College Special Collections and Archives,Rights Reserved by: Charlotte Cook,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.598329,-82.1767356,10,,
"Dobson, NC by Clyde Draughn",495,http://mappalachia.org/pictures/gallery/full_size/map_495.jpg,Clyde Draughn,,Surry,"Dobson, NC",Berea College Special Collections and Archives,Rights Reserved by: Clyde Draughn,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.3956891,-80.722567,10,,
"Elkins, WV by Collene A. Gibson",496,http://mappalachia.org/pictures/gallery/full_size/map_496.jpg,Collene A. Gibson,1961,Randolph,"Elkins, WV",Berea College Special Collections and Archives,Rights Reserved by: Collene A. Gibson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.9259397,-79.8467349,10,,
"Cumberland, KY by Curtis Caudill",497,http://mappalachia.org/pictures/gallery/full_size/map_497.jpg,Curtis Caudill,,Harlan,"Cumberland, KY",Berea College Special Collections and Archives,Rights Reserved by: Curtis Caudill,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9781475,-82.9884955,10,,
"Waynesville, NC by Curtis Styles",498,http://mappalachia.org/pictures/gallery/full_size/map_498.jpg,Curtis Styles,,Haywood,"Waynesville, NC",Berea College Special Collections and Archives,Rights Reserved by: Curtis Styles,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.4887145,-82.9887477,10,,
"Kline, WV by Dale Greenwalt",499,http://mappalachia.org/pictures/gallery/full_size/map_499.jpg,Dale Greenwalt,,Pendleton,"Kline, WV",Berea College Special Collections and Archives,Rights Reserved by: Dale Greenwalt,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.7790021,-79.2253162,10,,
"Louisa, KY by Dale Meek",500,http://mappalachia.org/pictures/gallery/full_size/map_500.jpg,Dale Meek,,Lawrence,"Louisa, KY",Berea College Special Collections and Archives,Rights Reserved by: Dale Meek,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1142544,-82.6032119,10,,
"Fort Spring, WV by Daniel Miller",501,http://mappalachia.org/pictures/gallery/full_size/map_501.jpg,Daniel Miller,,GreenBrier,"Fort Spring, WV",Berea College Special Collections and Archives,Rights Reserved by: Daniel Miller,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7451213,-80.5392429,10,,
"Williamson, WV by David Hess",502,http://mappalachia.org/pictures/gallery/full_size/map_502.jpg,David Hess,,Mingo,"Williamson, WV",Berea College Special Collections and Archives,Rights Reserved by: David Hess,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6742682,-82.2773629,10,,
"Belfrey, WV by David Hess",503,http://mappalachia.org/pictures/gallery/full_size/map_503.jpg,David Hess,,Pike,"Belfrey, WV",Berea College Special Collections and Archives,Rights Reserved by: David Hess,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6480091,-82.2660762,10,,
"Cumberland, KY by Delores Branham",504,http://mappalachia.org/pictures/gallery/full_size/map_504.jpg,Delores Branham,,Harlan,"Cumberland, KY",Berea College Special Collections and Archives,Rights Reserved by: Delores Branham,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9781475,-82.9884955,10,,
"Big Hill, KY by Dennis Lewis",505,http://mappalachia.org/pictures/gallery/full_size/map_505.jpg,Dennis Lewis,,Madison,"Big Hill, KY",Berea College Special Collections and Archives,Rights Reserved by: Dennis Lewis,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.554528,-84.2082651,10,,
"Corbin, KY by Denver Parks",506,http://mappalachia.org/pictures/gallery/full_size/map_506.jpg,Denver Parks,,Knox,"Corbin, KY",Berea College Special Collections and Archives,Rights Reserved by: Denver Parks,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9486986,-84.0968761,10,,
", KY by Denzil Hall",507,http://mappalachia.org/pictures/gallery/full_size/map_507.jpg,Denzil Hall,1968,,", KY",Berea College Special Collections and Archives,Rights Reserved by: Denzil Hall,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8393332,-84.2700179,10,,
", KY by Burnette Cook",508,http://mappalachia.org/pictures/gallery/full_size/map_508.jpg,Burnette Cook,,,", KY",Berea College Special Collections and Archives,Rights Reserved by: Burnette Cook,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8393332,-84.2700179,10,,
"Louisa, KY by Carl Birkhead",509,http://mappalachia.org/pictures/gallery/full_size/map_509.jpg,Carl Birkhead,1959,Lawrence,"Louisa, KY",Berea College Special Collections and Archives,Rights Reserved by: Carl Birkhead,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1142544,-82.6032119,10,,
"Black Mountain, KY by Cecil Nanngy",510,http://mappalachia.org/pictures/gallery/full_size/map_510.jpg,Cecil Nanngy,,Buncombe,"Black Mountain, KY",Berea College Special Collections and Archives,Rights Reserved by: Cecil Nanngy,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.6178951,-82.3212302,10,,
"Floyd, VA by Phyllis Whitlock",511,http://mappalachia.org/pictures/gallery/full_size/map_511.jpg,Phyllis Whitlock,1959,Floyd,"Floyd, VA",Berea College Special Collections and Archives,Rights Reserved by: Phyllis Whitlock,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9112443,-80.3200502,10,,
"Hindman, KY by Rose Ellen Hayes",512,http://mappalachia.org/pictures/gallery/full_size/map_512.jpg,Rose Ellen Hayes,1959,Knot,"Hindman, KY",Berea College Special Collections and Archives,Rights Reserved by: Rose Ellen Hayes,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3359313,-82.9804414,10,,
"Red Bird, KY by Wanda Asher",513,http://mappalachia.org/pictures/gallery/full_size/map_513.jpg,Wanda Asher,1959,Bell,"Red Bird, KY",Berea College Special Collections and Archives,Rights Reserved by: Wanda Asher,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7485932,-84.1976381,10,,
"Asheville, NC by Linda Hall",514,http://mappalachia.org/pictures/gallery/full_size/map_514.jpg,Linda Hall,1960,Buncombe,"Asheville, NC",Berea College Special Collections and Archives,Rights Reserved by: Linda Hall,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5950581,-82.5514869,10,,
"Cincinnati, OH by Carl Hilson",515,http://mappalachia.org/pictures/gallery/full_size/map_515.jpg,Carl Hilson,1967,Hamilton,"Cincinnati, OH",Berea College Special Collections and Archives,Rights Reserved by: Carl Hilson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,39.1031182,-84.5120196,10,,
"Daisy, TN by Mary Edna Wright",516,http://mappalachia.org/pictures/gallery/full_size/map_516.jpg,Mary Edna Wright,1960,Hamilton,"Daisy, TN",Berea College Special Collections and Archives,Rights Reserved by: Mary Edna Wright,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.2478468,-85.186346,10,,
"Caney Fork, KY by Phyllis Dutton",517,http://mappalachia.org/pictures/gallery/full_size/map_517.jpg,Phyllis Dutton,1960,,"Caney Fork, KY",Berea College Special Collections and Archives,Rights Reserved by: Phyllis Dutton,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.364586,-84.998936,10,,
"St. Paul, VA by Brenda Dingus",518,http://mappalachia.org/pictures/gallery/full_size/map_518.jpg,Brenda Dingus,1968,Wise,"St. Paul, VA",Berea College Special Collections and Archives,Rights Reserved by: Brenda Dingus,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9063513,-82.3123438,10,,
"Lake City, TN by Robert Johnson",519,http://mappalachia.org/pictures/gallery/full_size/map_519.jpg,Robert Johnson,1960,Anderson & Campell,"Lake City, TN",Berea College Special Collections and Archives,Rights Reserved by: Robert Johnson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.2178566,-84.1546452,10,,
"Insull, KY by Shirley Nelson",520,http://mappalachia.org/pictures/gallery/full_size/map_520.jpg,Shirley Nelson,1960,Bell,"Insull, KY",Berea College Special Collections and Archives,Rights Reserved by: Shirley Nelson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.741122,-83.634843,10,,
"Jones Chapel, KY by JT Coomer",521,http://mappalachia.org/pictures/gallery/full_size/map_521.jpg,JT Coomer,1956,Adair,"Jones Chapel, KY",Berea College Special Collections and Archives,Rights Reserved by: JT Coomer,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.0578696,-85.390834,10,,
", KY by Thomas Goodin Banner",522,http://mappalachia.org/pictures/gallery/full_size/map_522.jpg,Thomas Goodin Banner,1960,,", KY",Berea College Special Collections and Archives,Rights Reserved by: Thomas Goodin Banner,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8393332,-84.2700179,10,,
"Chandlerevile, KY by Wayne Geiss",523,http://mappalachia.org/pictures/gallery/full_size/map_523.jpg,Wayne Geiss,,,"Chandlerevile, KY",Berea College Special Collections and Archives,Rights Reserved by: Wayne Geiss,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.934113,-82.813965,10,,
"Louisa, KY by W.H. Witt",524,http://mappalachia.org/pictures/gallery/full_size/map_524.jpg,W.H. Witt,,Lawrence,"Louisa, KY",Berea College Special Collections and Archives,Rights Reserved by: W.H. Witt,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1142544,-82.6032119,10,,
"Corbin, KY by Willard Grayhart",525,http://mappalachia.org/pictures/gallery/full_size/map_525.jpg,Willard Grayhart,,Whitley,"Corbin, KY",Berea College Special Collections and Archives,Rights Reserved by: Willard Grayhart,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9265115,-84.1105053,10,,
", KY by Willard Hones",526,http://mappalachia.org/pictures/gallery/full_size/map_526.jpg,Willard Hones,,Knox,", KY",Berea College Special Collections and Archives,Rights Reserved by: Willard Hones,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9260578,-83.8897057,10,,
"Laurel Branch, VA by Wilma J. Hylton",527,http://mappalachia.org/pictures/gallery/full_size/map_527.jpg,Wilma J. Hylton,1959,Floyd,"Laurel Branch, VA",Berea College Special Collections and Archives,Rights Reserved by: Wilma J. Hylton,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.9130022,-80.3716392,10,,
"Swannannoa, NC by Yvonne Deal",528,http://mappalachia.org/pictures/gallery/full_size/map_528.jpg,Yvonne Deal,,Buncombe,"Swannannoa, NC",Berea College Special Collections and Archives,Rights Reserved by: Yvonne Deal,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5978935,-82.3998431,10,,
"Beattyville, KY by Donna Clames",529,http://mappalachia.org/pictures/gallery/full_size/map_529.jpg,Donna Clames,1966,Lee,"Beattyville, KY",Berea College Special Collections and Archives,Rights Reserved by: Donna Clames,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5717532,-83.7068597,10,,
"Haysi, VA by Cleta Counts",530,http://mappalachia.org/pictures/gallery/full_size/map_530.jpg,Cleta Counts,1973,Dickenson,"Haysi, VA",Berea College Special Collections and Archives,Rights Reserved by: Cleta Counts,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.205387,-82.2940326,10,,
"Berea, KY by Tina Hallam",531,http://mappalachia.org/pictures/gallery/full_size/map_531.jpg,Tina Hallam,1977,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Tina Hallam,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Berea, KY by Anonymous",532,http://mappalachia.org/pictures/gallery/full_size/map_532.jpg,Anonymous,,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: ,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Hardin Valley, TN by Carl Hoefer",533,http://mappalachia.org/pictures/gallery/full_size/map_533.jpg,Carl Hoefer,1976,Knox,"Hardin Valley, TN",Berea College Special Collections and Archives,Rights Reserved by: Carl Hoefer,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.9392984,-84.172896,10,,
"Ashland, KY by Cathy Adkins",534,http://mappalachia.org/pictures/gallery/full_size/map_534.jpg,Cathy Adkins,,Boyd,"Ashland, KY",Berea College Special Collections and Archives,Rights Reserved by: Cathy Adkins,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.4784144,-82.6379387,10,,
"Altmont, KY by Charlene Plemmons",535,http://mappalachia.org/pictures/gallery/full_size/map_535.jpg,Charlene Plemmons,1970,Grundy,"Altmont, KY",Berea College Special Collections and Archives,Rights Reserved by: Charlene Plemmons,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.4295186,-85.7230316,10,,
", KY by Dexter Cohen",536,http://mappalachia.org/pictures/gallery/full_size/map_536.jpg,Dexter Cohen,,,", KY",Berea College Special Collections and Archives,Rights Reserved by: Dexter Cohen,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8393332,-84.2700179,10,,
"Jeff, KY by Don Beatty",537,http://mappalachia.org/pictures/gallery/full_size/map_537.jpg,Don Beatty,,,"Jeff, KY",Berea College Special Collections and Archives,Rights Reserved by: Don Beatty,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2050956,-83.136281,10,,
"Oceana, KY by Donna Brown",538,http://mappalachia.org/pictures/gallery/full_size/map_538.jpg,Donna Brown,,Wyoming,"Oceana, KY",Berea College Special Collections and Archives,Rights Reserved by: Donna Brown,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6920553,-81.6239985,10,,
"Hegira, KY by Donnie Munay",539,http://mappalachia.org/pictures/gallery/full_size/map_539.jpg,Donnie Munay,,Cumberland,"Hegira, KY",Berea College Special Collections and Archives,Rights Reserved by: Donnie Munay,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7067304,-85.2760719,10,,
"Anstead, KY by Dorothy E. Skaggs",540,http://mappalachia.org/pictures/gallery/full_size/map_540.jpg,Dorothy E. Skaggs,,Fayette,"Anstead, KY",Berea College Special Collections and Archives,Rights Reserved by: Dorothy E. Skaggs,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.0606478,-84.4802606,10,,
"Berea, KY by Ellen Carpenter",541,http://mappalachia.org/pictures/gallery/full_size/map_541.jpg,Ellen Carpenter,,Madison,"Berea, KY",Berea College Special Collections and Archives,Rights Reserved by: Ellen Carpenter,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.568694,-84.2963223,10,,
"Mudlick, KY by Emily Scott",542,http://mappalachia.org/pictures/gallery/full_size/map_542.jpg,Emily Scott,1959,Monroe,"Mudlick, KY",Berea College Special Collections and Archives,Rights Reserved by: Emily Scott,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.7528335,-85.7805304,10,,
"Hazel Green, KY by E. T. Kash Jr.",543,http://mappalachia.org/pictures/gallery/full_size/map_543.jpg,E. T. Kash Jr.,,Wolfe,"Hazel Green, KY",Berea College Special Collections and Archives,Rights Reserved by: E. T. Kash Jr.,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.797587,-83.4165715,10,,
"Elliotville, KY by Eugene Fraley",544,http://mappalachia.org/pictures/gallery/full_size/map_544.jpg,Eugene Fraley,,Rowan,"Elliotville, KY",Berea College Special Collections and Archives,Rights Reserved by: Eugene Fraley,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.1828602,-83.2757346,10,,
", KY by Eugene Holbrook",545,http://mappalachia.org/pictures/gallery/full_size/map_545.jpg,Eugene Holbrook,1964,Letcher,", KY",Berea College Special Collections and Archives,Rights Reserved by: Eugene Holbrook,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.125351,-82.8640623,10,,
"Jellico, TN by Finley Laye",546,http://mappalachia.org/pictures/gallery/full_size/map_546.jpg,Finley Laye,,Campbell,"Jellico, TN",Berea College Special Collections and Archives,Rights Reserved by: Finley Laye,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.5878591,-84.1268741,10,,
"Hatfield, KY by Floyd K. Bevins",547,http://mappalachia.org/pictures/gallery/full_size/map_547.jpg,Floyd K. Bevins,1960,Pike,"Hatfield, KY",Berea College Special Collections and Archives,Rights Reserved by: Floyd K. Bevins,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7245437,-82.3684776,10,,
"Beattyville, KY by G.T. Blakey Jr.",548,http://mappalachia.org/pictures/gallery/full_size/map_548.jpg,G.T. Blakey Jr.,,Lee,"Beattyville, KY",Berea College Special Collections and Archives,Rights Reserved by: G.T. Blakey Jr.,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.5717532,-83.7068597,10,,
