Dublin Core:Title,Dublin Core:Identifier,File,Dublin Core:Creator,Dublin Core:Date,Dublin Core:County,Dublin Core:Subject,Dublin Core:Source,Dublin Core:Rights,Dublin Core:Format,Item Type Metadata:Physical Dimensions,Dublin Core:Language,Item Type,Dublin Core:Coverage,geolocation:latitude,geolocation:longitude,geolocation:zoom_level,geolocation:map_type,geolocation:address
"Decatur, KY by Becca Hamner",424,http://mappalachia.org/pictures/gallery/full_size/map_424.jpg,Becca Hamner,1966,Limestone and Morgan,"Decatur, KY",Berea College Special Collections and Archives,Rights Reserved by: Becca Hamner,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.6059253,-86.9833417,10,,
"Decatur, KY by Becca Hamner",425,http://mappalachia.org/pictures/gallery/full_size/map_425.jpg,Becca Hamner,1966,Limestone and Morgan,"Decatur, KY",Berea College Special Collections and Archives,Rights Reserved by: Becca Hamner,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,34.6059253,-86.9833417,10,,
"Bradshaw, WV by Earnest A Baker",426,http://mappalachia.org/pictures/gallery/full_size/map_426.jpg,Earnest A Baker,1952,Logan,"Bradshaw, WV",Berea College Special Collections and Archives,Rights Reserved by: Earnest A Baker,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.8017706,-82.0317928,10,,
"Liberty, KY by Betty Lou Miller",427,http://mappalachia.org/pictures/gallery/full_size/map_427.jpg,Betty Lou Miller,1966,Casey,"Liberty, KY",Berea College Special Collections and Archives,Rights Reserved by: Betty Lou Miller,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.3184064,-84.9393979,10,,
"Madison, WV by Frieda Meade",428,http://mappalachia.org/pictures/gallery/full_size/map_428.jpg,Frieda Meade,,Boone,"Madison, WV",Berea College Special Collections and Archives,Rights Reserved by: Frieda Meade,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.0670454,-81.8192892,10,,
", KY by Bobby Jo Gay",429,http://mappalachia.org/pictures/gallery/full_size/map_429.jpg,Bobby Jo Gay,1966,Hazard,", KY",Berea College Special Collections and Archives,Rights Reserved by: Bobby Jo Gay,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.24954,-83.1932284,10,,
"Franklin, NC by Aaron Philips	",430,http://mappalachia.org/pictures/gallery/full_size/map_430.jpg,"Aaron Philips	",1971,Macon,"Franklin, NC",Berea College Special Collections and Archives,"Rights Reserved by: Aaron Philips	",Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.1823171,-83.3815429,10,,
"Lexington, VA by Allan Bareger",431,http://mappalachia.org/pictures/gallery/full_size/map_431.jpg,Allan Bareger,1971,Rockbridge,"Lexington, VA",Berea College Special Collections and Archives,Rights Reserved by: Allan Bareger,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7835717,-79.4416609,10,,
"Ber, KY by Betty Poynter	",432,http://mappalachia.org/pictures/gallery/full_size/map_432.jpg,"Betty Poynter	",1971,Madison,"Ber, KY",Berea College Special Collections and Archives,"Rights Reserved by: Betty Poynter	",Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.7471503,-84.2925294,10,,
"Marshall, NC by Billy Roberts",433,http://mappalachia.org/pictures/gallery/full_size/map_433.jpg,Billy Roberts,1971,Madison,"Marshall, NC",Berea College Special Collections and Archives,Rights Reserved by: Billy Roberts,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.7973284,-82.6840251,10,,
"Bluefield, VA by Carol Parris",434,http://mappalachia.org/pictures/gallery/full_size/map_434.jpg,Carol Parris,1971,Tazewell,"Bluefield, VA",Berea College Special Collections and Archives,Rights Reserved by: Carol Parris,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2486175,-81.2843811,10,,
"Candler, NC by Genenne Wilson",435,http://mappalachia.org/pictures/gallery/full_size/map_435.jpg,Genenne Wilson,1971,Buncombe,"Candler, NC",Berea College Special Collections and Archives,Rights Reserved by: Genenne Wilson,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.5360973,-82.6927363,10,,
"Canada, KY by John Baldwin",436,http://mappalachia.org/pictures/gallery/full_size/map_436.jpg,John Baldwin,1971,Pike,"Canada, KY",Berea College Special Collections and Archives,Rights Reserved by: John Baldwin,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6061055,-82.3246094,10,,
"Smyrna, SC by K. Wallace",437,http://mappalachia.org/pictures/gallery/full_size/map_437.jpg,K. Wallace,1971,Cherokee & York,"Smyrna, SC",Berea College Special Collections and Archives,Rights Reserved by: K. Wallace,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,35.0426324,-81.4061959,10,,
"Marion, VA by Linda Fuller",438,http://mappalachia.org/pictures/gallery/full_size/map_438.jpg,Linda Fuller,1971,Smyth,"Marion, VA",Berea College Special Collections and Archives,Rights Reserved by: Linda Fuller,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8348383,-81.5148368,10,,
"Lancaster, KY by Michael Browning",439,http://mappalachia.org/pictures/gallery/full_size/map_439.jpg,Michael Browning,1971,Gerrard,"Lancaster, KY",Berea College Special Collections and Archives,Rights Reserved by: Michael Browning,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.6195246,-84.5779957,10,,
"Monticello, KY by Rebecca White",440,http://mappalachia.org/pictures/gallery/full_size/map_440.jpg,Rebecca White,1971,Wayne,"Monticello, KY",Berea College Special Collections and Archives,Rights Reserved by: Rebecca White,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,36.8297937,-84.8491126,10,,
", WV by Robert Goddard",441,http://mappalachia.org/pictures/gallery/full_size/map_441.jpg,Robert Goddard,1971,,", WV",Berea College Special Collections and Archives,Rights Reserved by: Robert Goddard,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,38.5976262,-80.4549026,10,,
"McRoberts, KY by Ronnie Delph",442,http://mappalachia.org/pictures/gallery/full_size/map_442.jpg,Ronnie Delph,1971,Letcher,"McRoberts, KY",Berea College Special Collections and Archives,Rights Reserved by: Ronnie Delph,Paper, approximately 8.5 by 11 inches,English,Still image,Twentieth-century.,37.2076038,-82.671823,10,,
