Title,Identifier,Creator,Date,Subject,Source,Rights,Format,Language,Type,Coverage,,Image
map_149,149,Lula Mae Bruce,1950,"Speedwell, TN",Berea College Special Collections and Archives,Rights Reserved by: Lula Mae Bruce,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_150,150,Mary Jane Leatherwood,1950,"Candler, NC",Berea College Special Collections and Archives,Rights Reserved by: Mary Jane Leatherwood,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_151,151,William L. Cartes,1950,"Hiltons, VA",Berea College Special Collections and Archives,Rights Reserved by: William L. Cartes,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_152,152,George Fulk,1951,"Bayard, WV",Berea College Special Collections and Archives,Rights Reserved by: George Fulk,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_153,153,Gwen Lanier,1951,"Cartersville, GA",Berea College Special Collections and Archives,Rights Reserved by: Gwen Lanier,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_154,154,Janet Albright,1951,"Brodhead, KY",Berea College Special Collections and Archives,Rights Reserved by: Janet Albright,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_155,155,Joan Drake,1951,"Black Mountain, NC",Berea College Special Collections and Archives,Rights Reserved by: Joan Drake,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_156,156,Josephine Kiti,1951,"Oak Ridge, WV",Berea College Special Collections and Archives,Rights Reserved by: Josephine Kiti,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_157,157,Leona M. Dobbins,1951,"Forest City, NC",Berea College Special Collections and Archives,Rights Reserved by: Leona M. Dobbins,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
map_158,158,Marian McClung,1951,"Summersville, WV",Berea College Special Collections and Archives,Rights Reserved by: Marian McClung,"Paper, approximately 8.5 by 11 inches",English,Still image,Twentieth-century.,,
